"country","iso","cid","cowcode","leader","start_yr","end_yr","tenure_yrs","regime_vdem_type","gwf_type","auth_yrs_vdem","is_also_populist"
"Portugal","PRT",44,235,"Machado Guimaraes",1915,1917,2,"Closed autocracy",NA,3,FALSE
"Portugal","PRT",44,235,"Almeida",1919,1923,4,"Electoral autocracy",NA,5,FALSE
"Portugal","PRT",44,235,"Gomes",1923,1925,2,"Electoral autocracy",NA,3,FALSE
"Portugal","PRT",44,235,"Carmona",1926,1932,6,"Closed autocracy",NA,7,FALSE
"Portugal","PRT",44,235,"Salazar",1932,1968,36,"Closed autocracy","personal",37,FALSE
"Portugal","PRT",44,235,"Caetano",1968,1974,6,"Closed autocracy","personal",7,FALSE
"Portugal","PRT",44,235,"Costa Gomes",1974,1976,2,"Closed autocracy","personal",2,FALSE
"Russia","RUS",46,365,"Lenin",1917,1923,6,"Closed autocracy",NA,7,FALSE
"Russia","RUS",46,365,"Stalin",1923,1953,30,"Closed autocracy","party-based",31,FALSE
"Russia","RUS",46,365,"Khrushchev",1953,1964,11,"Closed autocracy","party-based",12,FALSE
"Russia","RUS",46,365,"Brezhnev",1964,1982,18,"Closed autocracy","party-based",19,FALSE
"Russia","RUS",46,365,"Andropov",1982,1984,2,"Closed autocracy","party-based",3,FALSE
"Russia","RUS",46,365,"Gorbachev",1985,1991,6,"Closed autocracy","party-based",7,FALSE
"Russia","RUS",46,365,"Yeltsin",1991,1999,8,"Electoral autocracy","party-based+personal",9,FALSE
"Russia","RUS",46,365,"Putin",2000,2015,15,"Electoral autocracy","personal",16,FALSE
"Russia","RUS",46,365,"Putin",2012,2025,13,"Electoral autocracy",NA,14,FALSE
"South Africa","ZAF",49,560,"Louis Botha",1910,1919,9,"Electoral autocracy",NA,10,FALSE
"South Africa","ZAF",49,560,"Smuts",1919,1924,5,"Electoral autocracy",NA,6,FALSE
"South Africa","ZAF",49,560,"Hertzog",1924,1939,15,"Electoral autocracy",NA,16,FALSE
"South Africa","ZAF",49,560,"Smuts",1939,1948,9,"Electoral autocracy","oligarchy",10,FALSE
"South Africa","ZAF",49,560,"Malan",1948,1954,6,"Electoral autocracy","oligarchy",7,FALSE
"South Africa","ZAF",49,560,"Strijdom",1954,1958,4,"Electoral autocracy","oligarchy",5,FALSE
"South Africa","ZAF",49,560,"Verwoerd",1958,1966,8,"Electoral autocracy","oligarchy",9,FALSE
"South Africa","ZAF",49,560,"Vorster",1966,1978,12,"Electoral autocracy","oligarchy",13,FALSE
"South Africa","ZAF",49,560,"Botha",1978,1989,11,"Closed autocracy","oligarchy",12,FALSE
"South Africa","ZAF",49,560,"deKlerk",1989,1994,5,"Closed autocracy","oligarchy",6,FALSE
"South Korea","KOR",50,732,"Rhee",1948,1960,12,"Electoral autocracy","personal",13,FALSE
"South Korea","KOR",50,732,"Hee Park",1961,1979,18,"Electoral autocracy","military",19,FALSE
"South Korea","KOR",50,732,"Chun Doo Hwan",1980,1988,8,"Electoral autocracy","military",8,FALSE
"Spain","ESP",51,230,"Maura y Montaner",1907,1909,2,"Closed autocracy",NA,3,FALSE
"Spain","ESP",51,230,"Canalejas y Mendez",1910,1912,2,"Closed autocracy",NA,3,FALSE
"Spain","ESP",51,230,"Dato y Iradier",1913,1915,2,"Closed autocracy",NA,3,FALSE
"Spain","ESP",51,230,"Figueroa y Torres",1915,1917,2,"Closed autocracy",NA,3,FALSE
"Spain","ESP",51,230,"de Rivera",1923,1930,7,"Closed autocracy",NA,8,FALSE
"Spain","ESP",51,230,"Negrin",1937,1939,2,"Closed autocracy",NA,3,FALSE
"Spain","ESP",51,230,"Franco",1939,1975,36,"Closed autocracy","personal",37,FALSE
"Spain","ESP",51,230,"Suarez Gonzalez",1976,1981,5,"Electoral autocracy","personal",2,FALSE
"Sweden","SWE",52,380,"Otter",1900,1902,2,"Closed autocracy",NA,3,FALSE
"Sweden","SWE",52,380,"Bostrom",1902,1905,3,"Closed autocracy",NA,4,FALSE
"Sweden","SWE",52,380,"Lindman",1906,1911,5,"Closed autocracy",NA,6,FALSE
"Sweden","SWE",52,380,"Staaf",1911,1914,3,"Closed autocracy",NA,4,FALSE
"Sweden","SWE",52,380,"Hammarskjold",1914,1917,3,"Closed autocracy",NA,4,FALSE
"Sweden","SWE",52,380,"Eden",1917,1920,3,"Electoral autocracy",NA,4,FALSE
"Taiwan","TWN",54,713,"Chiang Kai-shek",1950,1975,25,"Closed autocracy","party-based",26,FALSE
"Taiwan","TWN",54,713,"Yen Chia-Kan",1975,1978,3,"Closed autocracy","party-based",4,FALSE
"Taiwan","TWN",54,713,"Chiang Ching-Kuo",1978,1988,10,"Closed autocracy","party-based",11,FALSE
"Taiwan","TWN",54,713,"Lee Teng-Hui",1988,2000,12,"Closed autocracy","party-based",8,FALSE
"Thailand","THA",55,800,"Rama VI",1910,1925,15,"Closed autocracy",NA,16,FALSE
"Thailand","THA",55,800,"Rama VII",1925,1932,7,"Closed autocracy",NA,8,FALSE
"Thailand","THA",55,800,"Phahon",1933,1938,5,"Electoral autocracy",NA,6,FALSE
"Thailand","THA",55,800,"Plaek Pibulsongkram",1938,1944,6,"Electoral autocracy",NA,7,FALSE
"Thailand","THA",55,800,"Pridi Banomyong",1944,1946,2,"Closed autocracy","personal",3,FALSE
"Thailand","THA",55,800,"Plaek Pibulsongkram",1947,1957,10,"Closed autocracy","personal+military-personal",11,FALSE
"Thailand","THA",55,800,"Sarit",1958,1963,5,"Closed autocracy","military-personal",6,FALSE
"Thailand","THA",55,800,"Thanon Kittakachorn",1963,1973,10,"Closed autocracy","military-personal",11,FALSE
"Thailand","THA",55,800,"Sanya",1973,1975,2,"Closed autocracy","military-personal",3,FALSE
"Thailand","THA",55,800,"Kriangsak",1977,1980,3,"Closed autocracy","military-personal",4,FALSE
"Thailand","THA",55,800,"Prem",1980,1988,8,"Electoral autocracy","military-personal",9,FALSE
"Thailand","THA",55,800,"Choonhavan",1988,1991,3,"Closed autocracy","military-personal",4,FALSE
"Thailand","THA",55,800,"Leekpai",1992,1995,3,"Electoral autocracy","military",4,FALSE
"Thailand","THA",55,800,"Chulanont",2006,2008,2,"Closed autocracy","military",3,FALSE
"Thailand","THA",55,800,"Vejjajiva",2008,2011,3,"Electoral autocracy",NA,4,FALSE
"Thailand","THA",55,800,"Yingluck Shinawatra",2011,2014,3,"Closed autocracy",NA,4,FALSE
"Turkey","TUR",56,640,"Mahmud Sefket Pasha",1909,1913,4,"Closed autocracy",NA,5,FALSE
"Turkey","TUR",56,640,"Enver Pasha",1913,1918,5,"Closed autocracy",NA,6,FALSE
"Turkey","TUR",56,640,"Mehmet VI Vahidettin",1918,1922,4,"Closed autocracy",NA,5,FALSE
"Turkey","TUR",56,640,"Ataturk",1922,1938,16,"Closed autocracy",NA,17,FALSE
"Turkey","TUR",56,640,"Inonu",1938,1950,12,"Closed autocracy","party-based",13,FALSE
"Turkey","TUR",56,640,"Menderes",1950,1960,10,"Closed autocracy","party-based",11,FALSE
"Turkey","TUR",56,640,"Inonu",1961,1965,4,"Closed autocracy","military",5,FALSE
"Turkey","TUR",56,640,"Demirel",1965,1971,6,"Closed autocracy",NA,2,FALSE
"Turkey","TUR",56,640,"Evren",1980,1983,3,"Closed autocracy","military",4,FALSE
"Turkey","TUR",56,640,"Ozal",1983,1989,6,"Electoral autocracy","military",7,FALSE
"Turkey","TUR",56,640,"Erdogan",2003,2015,12,"Electoral autocracy",NA,3,TRUE
"Turkey","TUR",56,640,"Erdogan",2014,2025,11,"Electoral autocracy",NA,12,FALSE
"United Kingdom","GBR",57,200,"Balfour",1902,1905,3,"Electoral autocracy",NA,4,FALSE
"United Kingdom","GBR",57,200,"Campbell-Bannerman",1905,1908,3,"Electoral autocracy",NA,4,FALSE
"United Kingdom","GBR",57,200,"Asquith",1908,1916,8,"Electoral autocracy",NA,9,FALSE
"United Kingdom","GBR",57,200,"Lloyd-George",1916,1922,6,"Electoral autocracy",NA,3,FALSE
"United States","USA",58,2,"Roosevelt, T.",1901,1909,8,"Electoral autocracy",NA,9,FALSE
"United States","USA",58,2,"Taft",1909,1913,4,"Electoral autocracy",NA,5,FALSE
"United States","USA",58,2,"Wilson",1913,1921,8,"Electoral autocracy",NA,7,FALSE
"Uruguay","URY",59,165,"Jose Batlle y Ordonez",1903,1907,4,"Closed autocracy",NA,5,FALSE
"Uruguay","URY",59,165,"Claudio Williman",1907,1911,4,"Closed autocracy",NA,5,FALSE
"Uruguay","URY",59,165,"Jose Batlle y Ordonez",1911,1915,4,"Electoral autocracy",NA,5,FALSE
"Uruguay","URY",59,165,"Feliciano Viera",1915,1919,4,"Electoral autocracy",NA,5,FALSE
"Uruguay","URY",59,165,"Baltasar Brum",1919,1923,4,"Electoral autocracy",NA,4,FALSE
"Uruguay","URY",59,165,"Terra",1931,1938,7,"Closed autocracy",NA,6,FALSE
"Uruguay","URY",59,165,"Bordaberry",1972,1976,4,"Closed autocracy","military",5,FALSE
"Uruguay","URY",59,165,"Mendez Manfredini",1976,1981,5,"Closed autocracy","military",6,FALSE
"Uruguay","URY",59,165,"Alvarez Armalino",1981,1985,4,"Closed autocracy","military",4,FALSE
"Venezuela","VEN",60,101,"Gomez",1908,1935,27,"Closed autocracy",NA,28,FALSE
"Venezuela","VEN",60,101,"Lopez Contreras",1935,1941,6,"Closed autocracy",NA,7,FALSE
"Venezuela","VEN",60,101,"Medina Angarita",1941,1945,4,"Closed autocracy",NA,5,FALSE
"Venezuela","VEN",60,101,"Betancourt",1945,1948,3,"Closed autocracy",NA,4,FALSE
"Venezuela","VEN",60,101,"Delgado Chalbaud",1948,1950,2,"Closed autocracy","military-personal",3,FALSE
"Venezuela","VEN",60,101,"Perez Jimenez",1950,1958,8,"Closed autocracy","military-personal",9,FALSE
"Venezuela","VEN",60,101,"Hugo Chavez",1999,2012,13,"Electoral autocracy","personal",11,TRUE
"Venezuela","VEN",60,101,"Maduro",2012,2015,3,"Electoral autocracy",NA,4,TRUE
"Venezuela","VEN",60,101,"Maduro",2013,2025,12,"Electoral autocracy",NA,13,TRUE
